trial,fold,run_name,map50,map50_95,precision,recall,fitness
22,2,train_folds_1_2_valid_folds_0,0.6734522181832079,0.40032231174462496,0.6511657398753323,0.6201905141795852,0.40032231174462496
23,0,train_folds_0_1_valid_folds_2,0.704917292721648,0.4092645730203081,0.7521063432440599,0.6071842410196987,0.4092645730203081
23,1,train_folds_0_2_valid_folds_1,0.6318056368289786,0.3701864660789455,0.71699625258472,0.5255712731229597,0.3701864660789455
23,2,train_folds_1_2_valid_folds_0,0.6718979991621291,0.392741543294664,0.7257725775841717,0.6021857923497268,0.392741543294664
24,0,train_folds_0_1_valid_folds_2,0.7007917937959636,0.4037154674311475,0.7918691906297158,0.57753446764648,0.4037154674311475
24,1,train_folds_0_2_valid_folds_1,0.6261453225097642,0.3688702381419603,0.7845007338728759,0.5110014413605273,0.3688702381419603
24,2,train_folds_1_2_valid_folds_0,0.6687784223387401,0.3948937389366502,0.6981630971015668,0.5825136612021858,0.3948937389366502
25,0,train_folds_0_1_valid_folds_2,0.691592738130662,0.3984341701034971,0.7565346654752975,0.5979142526071842,0.3984341701034971
25,1,train_folds_0_2_valid_folds_1,0.6226552034944227,0.3659148059931018,0.7033009645061072,0.5287659803437823,0.3659148059931018
25,2,train_folds_1_2_valid_folds_0,0.6655595596064654,0.3940935335816865,0.738520772598985,0.5772264067346035,0.3940935335816865
26,0,train_folds_0_1_valid_folds_2,0.687405372824911,0.3994831388819286,0.7664402762818671,0.5724217844727694,0.3994831388819286
26,1,train_folds_0_2_valid_folds_1,0.6221436713534683,0.3647292558022066,0.7125268394775136,0.49836779107725787,0.3647292558022066
26,2,train_folds_1_2_valid_folds_0,0.6575964182282117,0.3932983944233582,0.7427432265421092,0.5805890199332823,0.3932983944233582
27,0,train_folds_0_1_valid_folds_2,0.6854096436651096,0.39528877688706393,0.7844368704886613,0.5692548864043651,0.39528877688706393
27,1,train_folds_0_2_valid_folds_1,0.6242819504791639,0.37448269311933247,0.7411238564051918,0.5295810863456856,0.37448269311933247
